key_G#,track_name,artist_count_2,key_A,artist_count_6,artist_count_3,valence_%,in_apple_charts,cover_url,key_G,released_month,release_3,release_2,release_1,streams,artist_count_7,key_A#,mode_Major,key_C#,in_apple_playlists,in_spotify_playlists,key_B,party_val,mode_Minor,in_shazam_charts,released_day,danceability_%,artist_count_4,released_year,artist_count_1,artist_count_8,instrumentalness_%,acousticness_%,key_not provided,season_3,bpm,key_F#,artist(s)_name,speechiness_%,energy_%,in_spotify_charts,in_deezer_playlists,liveness_%,key_E,concert_val,in_deezer_charts,key_D#,key_F,artist_count_5,season_2,season_1,key_D
0.0,SOS,0.0,0.0,0.0,0.0,51,-0.6581700389788214,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,1.0,12,0,0,1,-0.7834634646382448,0.0,0.0,0.0,0.0,-0.7037769971287177,-0.5476628249434448,0.0,-0.5852190058062551,1.0,-0.3819607383508474,9,51,0.0,2022,1.0,0.0,0,67,0.0,1,-0.0972700282552524,0.0,SZA,23,66,-0.6062332936534088,-0.3340402476789597,9,0.0,1.4691046365411466,-0.4285213251221422,0.0,0.0,0.0,0,0,0.0
0.0,Talk that Talk,0.0,0.0,0.0,0.0,78,0.5013076856018823,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340,0.0,8,0,0,1,-0.5789477378639167,0.0,0.0,0.0,0.0,-0.6116544412444858,-0.5730797876908822,0.0,1.5341431086293214,1.0,-0.3686689377339703,26,77,0.0,2022,1.0,0.0,0,14,0.0,0,-0.06205156974904029,0.0,TWICE,12,91,-0.6062332936534088,-0.32240301234708585,33,0.0,0.1385700436072758,-0.2722521712302951,1.0,0.0,0.0,1,0,0.0
0.0,HEARTBREAK ANNIVERSARY,0.0,0.0,0.0,0.0,59,1.4839159267719702,https://i.scdn.co/image/ab67616d0000b2733317fc12f8b9a9a0b8459766,0.0,2,0,1,0,0.7706711814509496,0.0,0.0,1.0,0.0,0.5053315488518263,0.00036046146474704414,0.0,-0.9858681084276412,0.0,-0.1360624269386213,21,61,0.0,2020,1.0,0.0,0,56,1.0,0,0.2549145568068687,0.0,Giveon,5,46,-0.4106845246730455,-0.16031294879598607,13,0.0,0.6375205159574774,-0.4285213251221422,0.0,0.0,0.0,0,1,0.0
0.0,I AM,0.0,0.0,0.0,0.0,38,0.9926118061869262,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8,0.0,4,0,0,1,-0.6964271314704901,0.0,0.0,0.0,0.0,-0.5886238022734277,-0.6029327297857497,0.0,1.03873886027856,1.0,-0.01643622138672754,10,68,0.0,2023,1.0,0.0,0,1,0.0,0,0.00838534726338393,0.0,IVE,5,88,0.12707459002295363,-0.32905286110815657,8,1.0,-1.358281373443329,-0.4285213251221422,0.0,0.0,0.0,0,1,0.0
1.0,Quï¿½ï¿½ Mï¿½ï¿,1.0,0.0,0.0,0.0,77,-0.34373540180439327,Not Found,0.0,1,0,1,0,0.3619542800981257,0.0,0.0,1.0,0.0,0.2865404786267755,0.32274825782257416,0.0,1.63239985160809,0.0,-0.3819607383508474,28,89,0.0,2021,0.0,0.0,0,3,0.0,0,-0.6959838228608582,0.0,"J Balvin, Maria Becerra",11,82,-0.6062332936534088,-0.22598020531155982,17,0.0,-0.7928041714464339,-0.4285213251221422,0.0,0.0,0.0,0,1,0.0
0.0,Still D.R.E.,1.0,0.0,0.0,0.0,53,0.520959850425284,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5,0.0,1,1,0,0,1.2292353207673823,0.0,0.0,1.0,0.0,0.850791133417696,3.42541608301566,1.0,1.1209077455317211,0.0,-0.3819607383508474,1,81,0.0,1999,0.0,0.0,0,18,0.0,0,-1.0129499494167673,0.0,"Dr. Dre, Snoop Dogg",24,78,-0.6062332936534088,5.143772669253079,6,0.0,-0.22732696944953884,-0.2722521712302951,0.0,0.0,0.0,0,1,0.0
1.0,Love Nwantiti - Remix,0.0,0.0,0.0,1.0,44,-0.9726046761532495,https://i.scdn.co/image/ab67616d0000b27339bb326b58346f99b8692745,0.0,8,0,1,0,0.04270804859512819,0.0,0.0,1.0,0.0,-0.289225495649674,-0.32358592223136634,0.0,-0.5422290305030977,0.0,0.0,30,58,0.0,2019,0.0,0.0,9,44,0.0,0,-0.06205156974904029,0.0,"Ckay, AX'EL, Dj Yo!",6,60,-0.6062332936534088,-0.28749130635146436,5,0.0,0.005516584313888459,-0.4285213251221422,0.0,0.0,0.0,1,0,0.0
0.0,Cï¿½ï¿½,0.0,1.0,0.0,0.0,26,0.5995685097188911,Not Found,0.0,6,0,1,0,-0.0893571870856274,0.0,0.0,0.0,0.0,-0.35831741256284794,-0.330779402254226,0.0,0.345049125345991,1.0,-0.34873123680865464,25,77,0.0,2021,1.0,0.0,0,58,0.0,0,-0.6959838228608582,0.0,Rauw Alejandro,5,63,-0.45957171691813636,-0.3024534660638736,11,0.0,0.6375205159574774,-0.4285213251221422,0.0,0.0,0.0,1,0,0.0
0.0,Classy 101,1.0,0.0,0.0,0.0,67,0.9533074765401227,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,0.0,3,0,0,1,-0.32086368625661965,0.0,0.0,1.0,0.0,-0.277710176164145,-0.3338965769307985,1.0,0.8404533736967522,0.0,0.8608226193271601,31,86,0.0,2023,0.0,0.0,0,14,0.0,0,-0.7664207398732825,0.0,"Feid, Young Miko",16,66,1.3492543961502246,-0.28998499963686586,12,0.0,-0.42690715838961946,1.7592468293637167,0.0,0.0,0.0,0,1,0.0
0.0,Malvada,0.0,0.0,0.0,0.0,89,0.42269902630827527,Not Found,0.0,1,0,0,1,-0.6415564009996547,0.0,0.0,0.0,0.0,-0.45043996844707984,-0.5747582663628827,0.0,1.8467731959155071,1.0,-0.3819607383508474,28,89,0.0,2022,1.0,0.0,0,16,0.0,0,0.46622530784414135,0.0,Zï¿½ï¿½ Fe,5,86,-0.6062332936534088,-0.2816726886855274,8,0.0,-0.8593309010931276,-0.4285213251221422,0.0,1.0,0.0,0,1,0.0
